LHJ,p2001,p2002,p2003,p2004,p2005,p2006,p2007,p2008,p2009,p2010,p2011,p2012,c2001,c2002,c2003,c2004,c2005,c2006,c2007,c2008,c2009,c2010,c2011,c2012
Alameda,1361747,1364050,1362574,1360469,1354684,1357743,1367744,1381944,1392896,1400823,1412168,1425930,2034,1927,1526,1681,1934,2162,2225,1777,1532,1751,1399,1431
Alpine,1237,1248,1249,1266,1208,1255,1248,1208,1180,1163,1118,1127,0,0,0,0,0,0,0,0,0,0,0,0
Amador,35784,36535,36776,37147,37722,37964,38085,37864,37905,37853,37288,36899,2,1,1,11,8,5,1,4,6,4,5,2
Berkeley,104291,104893,105089,105549,105673,107579,109148,110331,111429,112919,114566,115376,103,110,109,131,148,151,144,117,137,172,109,112
Butte,205730,208154,210623,212212,213698,215684,217115,218485,219287,219990,220521,221118,27,26,143,146,116,123,165,66,51,61,49,69
Calaveras,41428,42119,43186,43924,44773,45316,45638,45702,45562,45462,45143,45045,2,3,7,11,13,9,5,1,4,6,4,5
Colusa,19068,19391,19685,20184,20565,20893,21119,21172,21270,21478,21502,21614,5,2,4,6,5,4,1,2,3,0,1,1
Contra Costa,970496,978795,989705,998201,1004230,1010104,1021251,1033292,1043501,1052211,1061375,1069803,672,675,536,762,847,817,969,780,643,821,863,934
Del Norte,27418,27615,27871,28187,28315,28276,28480,28571,28559,28544,28498,28359,2,1,1,4,1,1,2,1,3,1,1,0
El Dorado,161880,164725,167670,170304,173181,175258,177195,178599,179701,180921,180663,180599,10,13,19,17,26,17,29,14,19,16,14,21
Fresno,815003,828637,845917,860226,871910,886376,899826,913239,923895,932377,939278,946823,783,1079,1130,1137,1312,1469,1083,658,721,798,1197,1503
Glenn,26611,26792,27156,27264,27525,27731,28013,28120,28056,28143,28255,28208,1,1,1,3,6,4,11,1,2,7,7,8
Humboldt,127348,128755,130179,131243,131689,132226,132657,133201,133766,134663,135218,134923,29,20,40,51,26,21,62,25,18,31,44,66
Imperial,144726,147185,150909,153937,157657,162532,166894,170104,173241,175389,177229,178659,40,63,37,48,64,43,62,57,28,25,38,35
Inyo,18207,18415,18507,18559,18463,18421,18447,18383,18448,18528,18687,18637,1,1,1,4,7,1,1,1,4,3,1,1
Kern,679674,696504,717797,740022,761972,786220,805798,819891,831134,841146,848839,855522,845,801,769,963,1250,1274,1137,879,824,970,870,1269
Kings,132441,134664,138772,142617,144601,147496,150378,151834,151794,152656,151655,150843,49,49,88,116,122,107,98,81,37,22,42,44
Lake,60046,61005,61981,62633,63107,63792,63986,64370,64396,64599,64419,64394,4,0,2,14,22,11,17,1,38,28,42,53
Lassen,33650,33603,34053,34574,34528,35011,35749,35120,34773,35136,34668,33650,2,2,4,11,12,3,4,2,1,0,5,5
Long Beach,465899,467875,471355,472762,470465,467048,464688,463787,462406,462717,464014,467501,633,561,619,611,651,591,640,479,368,444,422,458
Los Angeles,9036698,9119787,9183353,9213557,9203263,9185590,9175432,9199117,9207818,9226931,9259431,9305665,7759,7800,8092,9717,10486,10453,9326,8346,8617,9521,9609,11459
Madera,126456,128484,132814,136488,139868,143528,146806,149114,150151,151328,152008,151790,36,56,94,168,127,139,114,63,54,82,74,110
Marin,247731,247382,247280,246684,246686,247247,248802,250288,251230,252731,254359,254882,72,52,55,52,61,101,78,67,74,66,72,82
Mariposa,17269,17461,17764,17872,18057,18244,18376,18385,18281,18193,17977,17817,2,6,1,2,8,3,3,2,0,1,0,4
Mendocino,87140,87507,88017,88239,88016,87584,87646,87782,87569,87924,88071,88566,12,13,21,15,16,28,19,12,13,15,22,19
Merced,217319,222733,229182,235549,240600,245555,249538,251932,254123,255937,259289,261708,58,70,144,213,264,235,149,84,72,76,61,99
Modoc,9434,9400,9511,9602,9588,9639,9590,9623,9632,9648,9565,9518,1,0,0,0,4,1,10,1,0,0,0,2
